,precision,recall,f1-score,support
0,0.9451476793248945,0.9444834855938159,0.9448154657293498,1423.0
1,0.8684931506849315,0.8769017980636238,0.8726772195457674,1446.0
2,0.6663793103448276,0.5549174443646806,0.6055620838229534,1393.0
3,0.9532374100719424,1.0,0.9760589318600369,265.0
4,0.7978571428571428,0.7860661505981703,0.7919177596596951,1421.0
5,0.6768982229402262,0.7274305555555556,0.701255230125523,1152.0
6,0.9053627760252366,0.9745331069609507,0.9386753883892068,589.0
7,0.8318512530315278,0.7205882352941176,0.7722326454033771,1428.0
8,0.978744939271255,0.9887525562372188,0.9837232960325535,978.0
9,0.74079754601227,0.9011194029850746,0.8131313131313131,536.0
10,0.7549019607843137,0.7333333333333333,0.7439613526570047,1050.0
11,1.0,1.0,1.0,1408.0
12,0.9985549132947977,0.996395097332372,0.997473836160231,1387.0
13,0.9749821300929236,0.9742857142857143,0.9746337977849231,1400.0
14,0.9429857464366092,0.936661698956781,0.9398130841121496,1342.0
15,0.5091324200913242,0.49299926308032427,0.5009359790340696,1357.0
16,0.7799174690508941,0.8053977272727273,0.7924528301886792,704.0
17,0.9928622412562456,0.9964183381088825,0.9946371111905613,1396.0
18,0.9428129829984544,0.8478109798471161,0.8927918038785218,1439.0
19,0.6526442307692307,0.6890862944162437,0.6703703703703704,788.0
20,0.713472485768501,0.8281938325991189,0.7665647298674821,454.0
21,0.5420711974110033,0.5815972222222222,0.561139028475712,576.0
22,0.9960079840319361,0.9950149551345963,0.9955112219451372,1003.0
23,0.5385665529010238,0.5509776536312849,0.5447014152571625,1432.0
24,0.798908807482463,0.7438316400580551,0.7703870725291243,1378.0
25,0.5666293393057111,0.7386861313868613,0.6413181242078582,685.0
26,0.8505654281098546,0.8946474086661003,0.8720496894409938,1177.0
accuracy,0.8211233829837539,0.8211233829837539,0.8211233829837539,0.8211233829837539
macro avg,0.8118439007536865,0.8251900009624052,0.8169922511407317,29607.0
weighted avg,0.823461909579571,0.8211233829837539,0.8210843158861116,29607.0
